SPPARKS (19 Nov 2013 -- potts-ori branch)
seed 1511040239
app_style	 potts/ori 1
dimension	 2
lattice		 sq/8n 1.0
read_dream3d	 filename initial.dream3d load_ori
create_sites boxCreating sites ...
  1048576 sites
  1048576 sites have 8 neighbors
  1048576 values

set_mobility	 binary theta_max 50 min_mobility 0.001
precompute    	 mobility

solve_style      tree
sector		 no

temperature	 0.9

stats            2000.0
diag_style	 grainsize filename stats.h5

dump txtfile text 500000 AGG_Sites.*.txt x y z 

dump		 1 dream3d 5000 agg_dump*.dream3d id site version 6.0 dataset SyntheticVolume
dump_modify	 1 pad 6

run              500000.0
Setting up run ...
      Time    Naccept    Nreject    Nsweeps        CPU    Ngrains
         0          0          0          0          0       1796
   2000.01     100638          0          0       1.53       1795
   4000.01     207815          0          0       3.09       1782
      6000     315892          0          0       5.05       1777
   8000.02     425136          0          0       6.71       1763
     10000     533970          0          0       8.46       1756
     12000     643539          0          0       10.1       1752
     14000     754640          0          0       11.8       1742
     16000     863903          0          0       13.5       1742
     18000     972868          0          0       15.1       1731
     20000    1081740          0          0       16.8       1725
     22000    1191801          0          0       18.5       1722
     24000    1302647          0          0       20.1       1718
     26000    1413109          0          0       21.9       1713
     28000    1522347          0          0       23.5       1710
     30000    1633286          0          0       25.3       1701
     32000    1744303          0          0       26.9       1699
     34000    1855522          0          0       28.6       1692
     36000    1966581          0          0       30.5       1687
     38000    2077036          0          0       32.1       1683
     40000    2188548          0          0       35.1       1680
     42000    2298290          0          0       36.7       1674
     44000    2411126          0          0       38.3       1671
     46000    2523398          0          0       40.7       1661
     48000    2634028          0          0       42.4       1659
     50000    2742786          0          0       44.1       1655
   52000.1    2851482          0          0       45.6       1650
     54000    2962999          0          0       47.1       1646
     56000    3073186          0          0         49       1642
     58000    3182240          0          0       50.6       1635
     60000    3290296          0          0       53.9       1630
     62000    3398639          0          0       55.4       1623
     64000    3506682          0          0       56.8       1615
     66000    3614042          0          0       59.7       1607
     68000    3722118          0          0       60.7       1603
     70000    3829066          0          0        100       1599
     72000    3935848          0          0        103       1591
     74000    4043695          0          0        104       1582
     76000    4152047          0          0        159       1577
     78000    4260562          0          0        164       1570
     80000    4370449          0          0        212       1567
     82000    4480692          0          0        213       1560
     84000    4590675          0          0        216       1554
     86000    4700652          0          0        225       1550
     88000    4809900          0          0        231       1545
     90000    4920025          0          0        234       1542
     92000    5029269          0          0        235       1535
     94000    5137499          0          0        237       1532
     96000    5243978          0          0        239       1529
     98000    5352165          0          0        240       1526
    100000    5460266          0          0        242       1522
    102000    5568353          0          0        244       1519
    104000    5677832          0          0        245       1513
    106000    5786458          0          0        256       1512
    108000    5894014          0          0        257       1508
    110000    6000920          0          0        260       1505
    112000    6108364          0          0        262       1498
    114000    6218112          0          0        263       1491
    116000    6327555          0          0        268       1486
    118000    6436639          0          0        269       1483
    120000    6545474          0          0        284       1477
    122000    6654560          0          0        287       1473
    124000    6762103          0          0        289       1471
    126000    6867914          0          0        357       1463
    128000    6973646          0          0        360       1459
    130000    7077941          0          0        366       1453
    132000    7181258          0          0        367       1452
    134000    7285997          0          0        369       1446
    136000    7390959          0          0        373       1442
    138000    7494379          0          0        374       1438
    140000    7597284          0          0        438       1434
    142000    7701272          0          0        445       1428
    144000    7806221          0          0        450       1422
    146000    7910188          0          0        459       1415
    148000    8014050          0          0        461       1411
    150000    8117196          0          0        479       1407
    152000    8218897          0          0        482       1403
    154000    8322320          0          0        483       1399
    156000    8427102          0          0        495       1395
    158000    8531554          0          0        496       1392
    160000    8636866          0          0        498       1391
    162000    8742724          0          0        500       1388
    164000    8848183          0          0        502       1379
    166000    8953284          0          0        504       1374
    168000    9056872          0          0        505       1372
    170000    9161588          0          0        508       1370
    172000    9267073          0          0        517       1364
    174000    9371612          0          0        522       1358
    176000    9475822          0          0        587       1355
    178000    9578123          0          0        589       1352
    180000    9679693          0          0        614       1347
    182000    9783002          0          0        616       1342
    184000    9886879          0          0        617       1335
    186000    9989677          0          0        619       1331
    188000   10091279          0          0        625       1324
    190000   10192674          0          0        699       1319
    192000   10293475          0          0        700       1317
    194000   10394061          0          0        700       1313
    196000   10494607          0          0        706       1311
    198000   10593584          0          0        707       1307
    200000   10692688          0          0        710       1303
    202000   10792927          0          0        711       1299
    204000   10894683          0          0        713       1295
